N = 4
size,parallel,serial
1024^2,271,549
2048^2,1248,2488
4096^2,5156,10879
8192^2,21185,46692
16384^2,87964,200445

N = 8
size,parallel,serial
1024^2,248.306,665.575
2048^2,1058.1,3048.05
4096^2,4173.24,13367.6
8192^2,17165.4,57568.8
16384^2,71813.1,247993

N = 16
size,parallel,serial
1024^2,203.778,572.501
2048^2,803.977,2666.69
4096^2,3117.63,11473
8192^2,12801.8,49444.5
16384^2,52801.4,211281

N = 32
size,parallel,serial
1024^2,283.439,569.731
2048^2,724.593,2620.39
4096^2,2717.01,11250.4
8192^2,11123.6,49270.5
16384^2,47924.9,215701
